artwork,owner,date,source,date_unknown,notes,
12,37,1912,https://www.metmuseum.org/art/collection/search/436527
12,17,1955,https://www.metmuseum.org/art/collection/search/436527
12,17,2021,https://www.metmuseum.org/art/collection/search/436527
13,39,1912,https://www.wikidata.org/wiki/Q18891074
13,999906,1921,https://www.wikidata.org/wiki/Q18891074,1,"No prov in Wallraf collection record"
13,38,1949,https://www.wallraf.museum/en/collections/19th-century/masterpieces/edvard-munch-girls-on-a-pier-1905/the-highlight/
13,38,2021,https://www.wallraf.museum/en/collections/19th-century/masterpieces/edvard-munch-girls-on-a-pier-1905/the-highlight/
14,41,1912,https://www.nga.gov/collection/art-object-page.56109.html#provenance
14,42,1927,https://www.nga.gov/collection/art-object-page.56109.html#provenance,1,"by 1927"
14,43,1951,https://www.nga.gov/collection/art-object-page.56109.html#provenance,1,"inheritance"
14,43,1980,https://www.nga.gov/collection/art-object-page.56109.html#provenance,1,"inheritance"
14,40,1981,https://www.nga.gov/collection/art-object-page.56109.html#provenance
14,40,2021,https://www.nga.gov/collection/art-object-page.56109.html#provenance
15,21,1912,https://www.clevelandart.org/art/1958.32
15,44,1913,https://www.clevelandart.org/art/1958.32,1
15,45,1942,https://www.clevelandart.org/art/1958.32
15,46,1942,https://www.clevelandart.org/art/1958.32
15,47,1946,https://www.clevelandart.org/art/1958.32
15,48,1958,https://www.clevelandart.org/art/1958.32
15,48,2021,https://www.clevelandart.org/art/1958.32
16,49,1912,https://www.wikidata.org/wiki/Q26220102
16,50,1956,https://www.wikidata.org/wiki/Q26220102,1
16,51,1961,https://www.wikidata.org/wiki/Q26220102,1
16,52,1963,https://www.wikidata.org/wiki/Q26220102
16,53,1972,https://www.wikidata.org/wiki/Q26220102
16,53,2021,https://www.wikidata.org/wiki/Q26220102
17,54,1912,https://www.wikidata.org/wiki/Q18748731
17,55,1924,https://munch.emuseum.com/en/objects/4569/sommernatt-inger-pa-stranden?ctx=e90550f8-fef1-4dcb-af80-879ae8820f58&idx=0
17,55,1931,https://munch.emuseum.com/en/objects/4569/sommernatt-inger-pa-stranden?ctx=e90550f8-fef1-4dcb-af80-879ae8820f58&idx=0,1
17,55,2021,https://munch.emuseum.com/en/objects/4569/sommernatt-inger-pa-stranden?ctx=e90550f8-fef1-4dcb-af80-879ae8820f58&idx=0,1
18,56,1912,https://philamuseum.org/collection/object/82820
18,57,1928,https://philamuseum.org/collection/object/82820
18,58,1949,https://philamuseum.org/collection/object/82820
18,59,1986,https://philamuseum.org/collection/object/82820
18,59,2021,https://philamuseum.org/collection/object/82820
19,60,1912,https://www.wikidata.org/wiki/Q11770767
19,999907,1921,https://www.wikidata.org/wiki/Q11770767,1,"Can't find any details on this one"
19,999907,2021,https://www.wikidata.org/wiki/Q11770767,1,"Can't find any details on this one"
20,61,1912,https://www.wikidata.org/wiki/Q30071452
20,999908,1921,https://www.sammlung.pinakothek.de/en/artwork/jpxeaOnxJ7/georges-braque/la-calanque-temps-gris,1
