item,itemLabel,sonderbundowner,sonderbundownerLabel,collection,collectionLabel
http://www.wikidata.org/entity/Q26221124,L'Arlésienne,http://www.wikidata.org/entity/Q61662,Carl Sternheim,http://www.wikidata.org/entity/Q23402,Musée d'Orsay
http://www.wikidata.org/entity/Q60493612,Mandolinist,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q673833,Beyeler Foundation
http://www.wikidata.org/entity/Q9371890,Entrance to the Public Park in Arles,http://www.wikidata.org/entity/Q61662,Carl Sternheim,http://www.wikidata.org/entity/Q578485,The Phillips Collection
http://www.wikidata.org/entity/Q109354198,Boy Holding a Blue Vase,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q7741188,The Hyde Collection
http://www.wikidata.org/entity/Q104541814,Portrait of Felix Auerbach,http://www.wikidata.org/entity/Q102104,Felix Auerbach,http://www.wikidata.org/entity/Q224124,Van Gogh Museum
http://www.wikidata.org/entity/Q20190142,"Green Wheat Fields, Auvers",http://www.wikidata.org/entity/Q15804115,Curt Hermann,http://www.wikidata.org/entity/Q214867,National Gallery of Art
http://www.wikidata.org/entity/Q60143718,Q60143718,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q1895953,National museum of modern art
http://www.wikidata.org/entity/Q28146931,Street in Saintes-Maries,http://www.wikidata.org/entity/Q61662,Carl Sternheim,http://www.wikidata.org/.well-known/genid/eebb2842bf5c2d453439398a703f152a,http://www.wikidata.org/.well-known/genid/eebb2842bf5c2d453439398a703f152a
http://www.wikidata.org/entity/Q4808368,Femme nue couchée,http://www.wikidata.org/entity/Q324935,Ferenc Hatvany,http://www.wikidata.org/.well-known/genid/d5c3a99bdae1cc7f4be1024c1db3999f,http://www.wikidata.org/.well-known/genid/d5c3a99bdae1cc7f4be1024c1db3999f
http://www.wikidata.org/entity/Q26221232,The House of Père Pilon,http://www.wikidata.org/entity/Q156426,Alexej von Jawlensky,http://www.wikidata.org/entity/Q15697027,Collection Stavros Niarchos
