id,artist
1,"Paul Cezanne"
2,"Ernst Ludwig Kirchner"
3,"Vincent Van Gogh"
4,"Henry Rousseau"
5,"Pablo Picasso"
6,"Anton Romako"
7,"Edvard Munch"
8,"Paul Gauguin"
9,"Georges Braque"
10,"Gustave Courbet"
11,"El Greco"
12,"Oskar Kokoschka"
13,"Anton Romako"
14,"Pierre-Auguste Renoir"
15,"Franz Marc"
